type,language,url,title,creators,source/applicant,publication_date,abstract,keywords
Patent,,https://patentscope.wipo.int/search/ru/detail.jsf?docId=WO2022104464&_cid=P10-L3TXGX-54087-1,"ROBOTIC APPARATUSES, SYSTEMS, AND METHODS FOR MOVING OBJECTS","JOHNSON, Tim",THE RUBIC TECHNOLOGIES INC.,27.05.2022,"Disclosed herein is a robot of a robotic system for moving objects such as packages, containers, totes, cases, bins, and/or boxes in a site, such as a warehouse, for fulfillment automation. The robot includes a base, a lift mechanism, and an object transitioning apparatus. The lift mechanism is coupled to the base. The lift mechanism is configured to vertically displace the object transitioning apparatus, relative to the base. The object transitioning apparatus includes an object manipulator for grasping an object. The object manipulator includes an extendible arm and an end effector for grasping the object. Lateral displacement of the end effector is effected by extension and retraction of the extendible arm. The extendible arm is laterally extendible, relative to the base, in a first direction, and also in a second direction that is opposite the first direction.","['B25J', '9/02']"
Patent,,https://patentscope.wipo.int/search/ru/detail.jsf?docId=WO2022104434&_cid=P10-L3TXGX-54087-1,HYDROLASE VARIANTS,"CAPUTO, Alessandro Thanasis",COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION,27.05.2022,The present disclosure relates to recombinant hydrolase variants and compositions comprising the same. Variants of the disclosure may be have various uses such as degradation of polyethylene terephthalate (PET).,"['C12N', '9/18']"
Patent,,https://patentscope.wipo.int/search/ru/detail.jsf?docId=WO2022104449&_cid=P10-L3TXGX-54087-1,PICK AND PLACE SYSTEMS AND METHODS,"AFROOZE, Sina",APERA AI INC.,27.05.2022,"A pick and place system comprises a computer connected to receive images of a field of view of a bin or other location at which objects are placed from disparate viewpoints. The computer is configured to process 2D image data of one or more of the images to determine a coarse pose and search range corresponding to the object. The computer is configured to perform subsequent stereo matching within the search range to obtain an accurate pose of the object. The computer is connected to control a robot to pick and place a selected object. Poses of objects may be determined asynchronously with picking the objects. Poses of plural objects may be determined and saved, the images may be processed to detect changes in the field of view. Saved poses for objects unaffected by changes may be used to pick the corresponding objects.","['G01B', '21/22']"
Patent,,https://patentscope.wipo.int/search/ru/detail.jsf?docId=WO2022104509&_cid=P10-L3TXGX-54087-1,A LOW-POWER OUTPUT DRIVER FOR POWER-SUPPLY TERMINATION IN MEMORY INTERFACE APPLICATIONS,"YIN, Haifeng",RENESAS ELECTRONICS AMERICA INC.,27.05.2022,"An output driver is disclosed that can include a delay generator configured to produce a plurality of delay signals in response to an input signal; a pre-driver configured to produce a plurality of control signals based on the plurality of shifted delay signals; and a main driver configured to couple to a channel with an asymmetric termination and provide an output signal at a node of the main driver based in response to the plurality of control signals, wherein the plurality of control signals provides for an asymmetric response in the main driver in response to the asymmetric termination. In some embodiments, an asymmetric switching sequence can be included. In some embodiments, a pull-up diode can be engaged. In some embodiments, the output driver is arranged to operate with core voltages and core transistors.","['G11C', '7/22']"
Patent,,https://patentscope.wipo.int/search/ru/detail.jsf?docId=WO2022104539&_cid=P10-L3TXGX-54087-1,"FIRE PREVENTION DEVICE, BOX ASSEMBLY, BATTERY, ELECTRIC DEVICE, AND METHOD FOR PRODUCING BATTERY","WU, Kai",JIANGSU CONTEMPORARY AMPEREX TECHNOLOGY LIMITED,27.05.2022,"Embodiments of the present application relate to the technical field of battery safety, and provide a fire prevention device, a box assembly, a battery, an electric device, and a method for producing the battery. The fire prevention device comprises a pipeline, gas release mechanisms, and blocking structures; the pipeline is provided with a gas inlet end and a gas exhaust end; the gas inlet end is configured to be connected to a box body of the battery, such that combustible gas generated during thermal runaway of the battery can enter the pipeline from the inside of the box body by means of the gas inlet end and then be discharged out of the pipeline by means of the gas exhaust end; and the gas release mechanisms are configured to be connected to the pipeline, and the gas release mechanisms are configured to release fire prevention gas into the pipeline during thermal runaway of the battery, wherein the pipeline is internally provided with blocking structures, and the blocking structures are used for blocking the combustible gas and the fire prevention gas and changing the flowing direction, such that the combustible gas and the fire prevention gas can be mixed before being discharged out of the pipeline. The fire prevention device provided by the present application can lower the risk of generating an open flame during thermal runaway of the battery, and can also suppress propagation of thermal runaway of the battery.","['H01M', '10/058']"
Patent,,https://patentscope.wipo.int/search/ru/detail.jsf?docId=WO2022104419&_cid=P10-L3TXGX-54087-1,CONVERTIBLE SPEARGUN HEAD,"ALAM, Radwan",HUNT MASTER PTY LTD,27.05.2022,"The present invention provides a speargun head that is reconfigurable into a number of configurations. The speargun head includes a body, a connection means at one end of the body for fitting to the end of a barrel of a speargun, a first mounting location on the body including an opening extending transversely through the body for selectively receiving one or more elongated rubber members therethrough or mounting a guard thereto and a second mounting location on the body for selectively mounting one or more rollers to the body, wherein the first and second mounting locations are longitudinally spaced apart from each other.","['F41B', '7/04']"
Patent,,https://patentscope.wipo.int/search/ru/detail.jsf?docId=WO2022104479&_cid=P10-L3TXGX-54087-1,IMMIGRATION PROGRAM QUALIFICATION ASSESSMENT SYSTEM AND METHOD OF USE,"AFAZL, Muhammad Ubaid",OUR CANADA SERVICES INC.,27.05.2022,An immigration program qualification assessment system prompts the user through a computer display with a queue of the qualifying questions and receives user responses from the user through a computer input device in response to the qualifying questions. The computer system uses the user responses to assess for each program if all of the qualifying criteria for the program has been met and communicates to the user that the applicant has qualified for one of the programs if all of the qualifying criteria for that program has been met. The user responses to one or more of the qualifying questions is used by the computer system in assessing the qualifying criteria associated with more than one program.,"['G06Q', '10/10']"
Patent,,https://patentscope.wipo.int/search/ru/detail.jsf?docId=WO2022104404&_cid=P10-L3TXGX-54087-1,EINRICHTUNG ZUR KONTROLLE VON ZUGANGSBERECHTIGUNGEN,"WINDHAGER, Christian",AXESS AG,27.05.2022,"Eine Einrichtung zur Kontrolle von Zugangsberechtigungen umfasst einem Zugangsbereich mit Leiteinrichtungen zur Bildung einer Zugangspur für die Vereinzelung von Personen oder Objekten, in welcher Sperr- und/oder Signalmittel eine Zugangsschwelle definieren. Ein Gate-Controller mit Bluetooth Funkschnittstelle ermöglicht das Auslesen einer Zugangsberechtigung von mobilen Datenträgern, wobei bei positiver Validierung der Zugangsberechtigung der Zugangscontroller die Sperr- und/oder Signalmittel freigibt und so die vereinzelte Passage der Zugangsschwelle ermöglicht. Einer Zugangsspur ist dabei eine Mehrphasen-Antennengruppe zugeordnet deren Sende-/Empfangsantennen über ein Antennenspeisenetzwerk von einem Bluetooth Sende-Empfängermodul dergestalt angesteuert sind, dass sich zumindest zwei Antennenkeulen ausbilden, die in Zugangsrichtung gesehen unterschiedliche Abstände zur Zugangsschwelle aufweisen. Der Gate-Controller (9) sendet im Leerlauf laufend kurze Signale (advertising events) über die in Zugangsrichtung gesehen einen größeren Abstand zur Zugangsschwelle (3) aufweisende Antennenkeule (6) aus und aktiviert die Bluetooth-Funkschnittstelle eines sich nähernden mobilen Datenträgers (1). Jedem zugangsberechtigten Datenträger (1) ist eine eindeutige Berechtigungskennung (UID oder Berechtigungs ID) zugeordnet die über eine mittels der Bluetooth-Schnittstelle aktivierbare Ticket-App lesbar ist. Der Gate-Controller (9) liest über die einen kürzeren Abstand zur Zugangsschwelle (3) liegende Antennenkeule (5) die Berechtigungskennung und misst die Empfangsfeldstärke (RSSI) des vom Datenträger (1) gesendeten Signals an dieser Antennenkeule (5). Bei positiver Bewertung der Empfangsfeldstärke (RSSI) und positiver Validierung der Berechtigung (UID) generiert der Zugangscontroller (9) das Freigabesignal für die Sperr- und/oder Signalmittel (12, 13).","['G07C', '9/20']"
Patent,,https://patentscope.wipo.int/search/ru/detail.jsf?docId=WO2022107134&_cid=P10-L3TXGX-54087-1,EXTREMELY FAST SOLID PHASE SYNTHESIS,"GILON, Chaim",YISSUM RESEARCH DEVELOPMENT COMPANY OF THE HEBREW UNIVERSITY OF JERUSALEM LTD.,27.05.2022,The present disclosure generally relates to the field of solid phase synthesis and methods for synthesizing peptides and employing solid phase synthesis.,"['C07K', '1/04']"
Patent,,https://patentscope.wipo.int/search/ru/detail.jsf?docId=WO2022107179&_cid=P10-L3TXGX-54087-1,SELECTIVE ACTIVATORS OF PEROXISOME PROLIFERATOR‐ACTIVATED RECEPTORS (PPARS) FOR THE TREATMENT OF VITILIGO,"PICARDO, Mauro Michele Maria","PICARDO, Mauro Michele Maria",27.05.2022,"The present invention concerns a specific and of selective activators of Peroxisome proliferator-activated receptors γ (PPARγ), such as Pioglitazone, for the treatment of vitiligo, such as non-segmental vitiligo.","['A61K', '31/4439']"
